,team,period,minute,is_goal,x,y
0,crystal palace,1,0,0,50.0,50.0
1,crystal palace,1,0,0,32.1,64.0
3,chelsea,1,0,0,26.7,63.3
4,chelsea,1,0,0,25.9,84.6
5,crystal palace,1,0,0,55.0,32.5
8,crystal palace,1,0,0,55.3,63.3
9,crystal palace,1,0,0,67.2,61.1
10,crystal palace,1,0,0,79.9,64.0
12,chelsea,1,0,0,9.7,4.3
14,chelsea,1,0,0,28.0,6.0
16,chelsea,1,0,0,19.0,16.6
18,chelsea,1,0,0,23.3,17.8
19,chelsea,1,0,0,9.1,37.4
20,chelsea,1,0,0,33.4,70.7
21,chelsea,1,0,0,57.3,92.1
22,chelsea,1,0,0,39.0,76.4
23,chelsea,1,1,0,56.2,74.0
24,chelsea,1,1,0,58.4,90.2
26,chelsea,1,1,0,72.0,92.1
27,chelsea,1,1,0,71.2,89.0
29,chelsea,1,1,0,70.0,88.4
31,chelsea,1,2,0,61.2,71.9
32,chelsea,1,2,0,68.6,87.8
33,chelsea,1,2,0,85.5,88.7
34,chelsea,1,2,0,79.4,94.7
35,chelsea,1,2,0,73.5,86.9
36,chelsea,1,2,0,56.6,68.4
37,chelsea,1,2,0,56.4,37.3
38,chelsea,1,2,0,62.1,8.0
39,chelsea,1,2,0,44.8,29.0
40,chelsea,1,2,0,44.7,50.3
41,chelsea,1,2,0,46.6,83.6
42,chelsea,1,2,0,37.5,65.1
43,chelsea,1,2,0,20.5,49.1
44,chelsea,1,2,0,39.8,68.0
45,chelsea,1,2,0,62.0,86.9
46,chelsea,1,2,0,75.5,90.9
47,chelsea,1,2,0,87.6,73.8
49,crystal palace,1,3,0,4.9,51.2
50,crystal palace,1,3,0,5.5,70.3
51,chelsea,1,3,0,53.5,31.1
53,chelsea,1,3,0,61.3,21.2
54,chelsea,1,3,0,43.9,31.3
55,chelsea,1,3,0,39.3,59.1
56,chelsea,1,3,0,38.7,34.7
57,chelsea,1,3,0,57.2,42.4
58,chelsea,1,3,0,60.6,75.3
59,chelsea,1,3,0,64.7,91.4
60,chelsea,1,3,0,64.7,76.4
61,chelsea,1,3,0,57.0,85.8
62,chelsea,1,3,0,40.5,65.0
63,chelsea,1,3,0,42.6,45.7
64,chelsea,1,3,0,59.5,12.7
65,chelsea,1,3,0,48.4,8.9
66,chelsea,1,4,0,30.8,41.2
67,chelsea,1,4,0,56.6,70.7
68,chelsea,1,4,0,61.8,89.1
