x,y,team,is_home_team
49.7,49.9,man city,0
24.1,44.0,man city,0
5.1,46.7,arsenal,1
57.9,2.8,arsenal,1
32.6,92.4,man city,0
56.1,12.3,arsenal,1
61.2,4.9,arsenal,1
15.6,90.3,man city,0
14.6,90.0,man city,0
5.2,71.1,man city,0
39.4,26.8,arsenal,1
60.6,73.2,man city,0
38.3,25.0,arsenal,1
44.2,5.9,arsenal,1
58.3,90.9,man city,0
46.7,90.6,man city,0
53.9,55.4,man city,0
54.3,30.5,man city,0
48.4,44.9,man city,0
55.4,36.2,man city,0
53.1,54.2,man city,0
46.6,65.6,man city,0
42.5,32.6,man city,0
35.7,56.6,man city,0
44.1,56.6,man city,0
42.2,55.7,man city,0
44.1,35.3,man city,0
38.2,27.5,man city,0
33.4,70.4,man city,0
41.5,66.2,man city,0
34.5,63.8,man city,0
38.8,48.7,man city,0
31.3,30.8,man city,0
14.6,53.1,man city,0
22.4,57.5,man city,0
19.6,82.2,man city,0
28.9,92.9,man city,0
30.8,87.6,man city,0
29.4,92.0,man city,0
31.7,74.3,man city,0
27.8,38.5,man city,0
45.8,7.1,man city,0
53.9,28.9,man city,0
53.4,42.5,man city,0
57.9,31.7,man city,0
71.7,4.1,man city,0
59.5,10.9,man city,0
59.1,27.5,man city,0
57.7,12.2,man city,0
63.2,25.4,man city,0
37.6,72.4,arsenal,1
62.0,24.8,man city,0
31.2,76.7,arsenal,1
34.8,73.2,arsenal,1
34.8,73.2,arsenal,1
10.0,46.5,arsenal,1
15.9,15.4,arsenal,1
4.8,48.2,arsenal,1
67.8,73.2,man city,0
70.5,74.3,man city,0
29.8,36.4,arsenal,1
27.8,53.8,arsenal,1
19.2,55.2,arsenal,1
81.2,0.0,man city,0
9.3,77.5,arsenal,1
99.7,0.4,man city,0
96.2,58.3,man city,0
12.9,65.8,arsenal,1
79.9,36.5,man city,0
87.7,46.6,man city,0
12.3,53.4,arsenal,1
87.1,41.8,man city,0
92.4,53.1,man city,0
4.0,60.2,arsenal,1
6.0,46.4,arsenal,1
70.7,28.4,arsenal,1
76.1,8.3,arsenal,1
28.5,84.2,man city,0
84.8,0.0,arsenal,1
70.3,18.5,arsenal,1
55.4,31.9,arsenal,1
44.6,44.1,arsenal,1
57.5,16.3,arsenal,1
41.0,85.7,man city,0
68.7,0.0,arsenal,1
24.1,79.3,man city,0
32.0,77.7,man city,0
30.1,77.5,man city,0
69.9,22.5,arsenal,1
14.0,58.2,man city,0
15.7,28.4,man city,0
8.7,49.4,man city,0
25.6,5.5,man city,0
12.6,16.7,man city,0
20.8,26.2,man city,0
21.9,9.5,man city,0
25.8,3.2,man city,0
8.9,10.0,man city,0
86.2,90.4,arsenal,1
36.3,0.0,man city,0
8.7,40.7,man city,0
14.7,67.8,man city,0
7.6,50.6,man city,0
15.1,53.4,man city,0
8.1,84.2,man city,0
14.1,94.5,man city,0
27.0,96.8,man city,0
73.0,7.1,arsenal,1
23.5,93.6,man city,0
74.4,0.0,arsenal,1
56.2,18.0,arsenal,1
44.2,45.9,arsenal,1
38.0,17.7,arsenal,1
33.1,57.0,arsenal,1
68.3,94.8,arsenal,1
42.6,14.5,man city,0
42.0,13.9,man city,0
36.7,7.0,man city,0
26.0,22.1,man city,0
12.0,47.8,man city,0
23.2,89.0,man city,0
35.2,94.0,man city,0
64.8,6.0,arsenal,1
36.0,96.3,man city,0
69.3,7.2,arsenal,1
70.3,8.2,arsenal,1
29.7,91.8,man city,0
29.5,88.8,man city,0
26.4,33.3,arsenal,1
25.0,30.5,arsenal,1
35.2,36.8,arsenal,1
47.1,91.7,arsenal,1
40.9,69.2,arsenal,1
35.9,44.4,arsenal,1
39.6,60.7,arsenal,1
31.6,51.9,arsenal,1
33.2,74.9,arsenal,1
45.5,70.4,arsenal,1
93.5,28.0,arsenal,1
99.5,0.5,arsenal,1
91.6,41.7,arsenal,1
8.4,58.3,man city,0
92.2,42.5,arsenal,1
6.7,70.1,man city,0
15.0,64.6,man city,0
85.0,35.4,arsenal,1
15.2,62.9,man city,0
21.2,60.8,man city,0
23.2,68.6,man city,0
72.3,38.7,arsenal,1
70.1,66.4,arsenal,1
65.1,37.1,arsenal,1
65.4,11.9,arsenal,1
64.8,23.7,arsenal,1
93.9,13.4,arsenal,1
11.4,84.9,man city,0
86.4,25.4,arsenal,1
13.6,74.6,man city,0
74.9,33.4,arsenal,1
71.1,52.2,arsenal,1
68.8,70.0,arsenal,1
20.1,69.5,man city,0
9.1,53.9,man city,0
19.4,25.1,man city,0
8.3,53.9,man city,0
11.5,86.1,man city,0
23.6,95.0,man city,0
18.8,96.6,man city,0
45.6,88.6,man city,0
56.6,89.6,man city,0
54.4,54.3,man city,0
