period,minute,second,player_name,is_successful,x,y,end_x,end_y,position,pass_receiver,pass_receiver_position,formation
1,0,7,levi colwill,1,26.7,63.3,26.4,83.4,LCB,marc cucurella,LB,4231
1,0,9,marc cucurella,0,25.9,84.6,43.6,62.9,LB,,,4231
1,0,23,malo gusto,1,9.7,4.3,24.9,7.1,RB,noni madueke,RM,4231
1,0,39,wesley fofana,1,23.3,17.8,9.1,37.4,RCB,robert sanchez,GK,4231
1,0,43,robert sanchez,1,9.1,37.4,15.9,69.0,GK,levi colwill,LCB,4231
1,0,48,levi colwill,1,33.4,70.7,49.1,91.5,LCB,marc cucurella,LB,4231
1,0,52,marc cucurella,1,57.3,92.1,39.0,76.5,LB,levi colwill,LCB,4231
1,0,57,levi colwill,1,39.0,76.4,56.2,74.0,LCB,enzo fernandez,LCDM,4231
1,1,0,enzo fernandez,1,56.2,74.0,54.9,91.7,LCDM,marc cucurella,LB,4231
1,1,3,marc cucurella,1,58.4,90.2,71.2,91.1,LB,pedro neto,LM,4231
1,1,58,cole palmer,0,70.0,88.4,86.4,58.5,CAM,,,4231
1,2,3,malo gusto,1,61.2,71.9,69.3,89.9,RB,enzo fernandez,LCDM,4231
1,2,6,enzo fernandez,1,68.6,87.8,85.5,88.7,LCDM,marc cucurella,LB,4231
1,2,7,marc cucurella,1,85.5,88.7,79.4,94.7,LB,cole palmer,CAM,4231
1,2,9,cole palmer,1,79.4,94.7,74.4,87.0,CAM,enzo fernandez,LCDM,4231
1,2,11,enzo fernandez,1,73.5,86.9,58.6,71.6,LCDM,malo gusto,RB,4231
1,2,15,malo gusto,1,56.6,68.4,56.0,37.3,RB,moises caicedo,RCDM,4231
1,2,18,moises caicedo,1,56.4,37.3,62.1,8.0,RCDM,pedro neto,LM,4231
1,2,20,pedro neto,1,62.1,8.0,45.6,24.7,LM,moises caicedo,RCDM,4231
1,2,23,moises caicedo,1,44.8,29.0,44.8,50.1,RCDM,malo gusto,RB,4231
1,2,27,malo gusto,1,44.7,50.3,46.6,83.6,RB,marc cucurella,LB,4231
1,2,30,marc cucurella,1,46.6,83.6,37.5,65.1,LB,levi colwill,LCB,4231
1,2,32,levi colwill,1,37.5,65.1,20.5,49.0,LCB,robert sanchez,GK,4231
1,2,35,robert sanchez,1,20.5,49.1,28.4,66.8,GK,levi colwill,LCB,4231
1,2,40,levi colwill,1,39.8,68.0,56.0,88.2,LCB,marc cucurella,LB,4231
1,2,44,marc cucurella,1,62.0,86.9,75.5,90.9,LB,pedro neto,LM,4231
1,2,46,pedro neto,1,75.5,90.9,87.6,73.8,LM,enzo fernandez,LCDM,4231
1,2,48,enzo fernandez,0,87.6,73.8,97.5,49.6,LCDM,,,4231
1,3,14,wesley fofana,1,53.5,31.1,61.2,14.9,RCB,malo gusto,RB,4231
1,3,17,malo gusto,1,61.3,21.2,42.8,27.1,RB,wesley fofana,RCB,4231
1,3,21,wesley fofana,1,43.9,31.3,42.6,54.2,RCB,levi colwill,LCB,4231
1,3,27,levi colwill,1,39.3,59.1,38.3,34.3,LCB,moises caicedo,RCDM,4231
1,3,30,moises caicedo,1,38.7,34.7,52.4,10.6,RCDM,wesley fofana,RCB,4231
1,3,36,wesley fofana,1,57.2,42.4,59.4,67.5,RCB,marc cucurella,LB,4231
1,3,38,marc cucurella,1,60.6,75.3,64.7,91.7,LB,pedro neto,LM,4231
1,3,40,pedro neto,1,64.7,91.4,65.0,77.6,LM,enzo fernandez,LCDM,4231
1,3,41,enzo fernandez,1,64.7,76.4,57.0,85.8,LCDM,marc cucurella,LB,4231
1,3,43,marc cucurella,1,57.0,85.8,40.5,65.1,LB,levi colwill,LCB,4231
